Issue ID	Type	Area	Title	Assigned To	Priority	Status	Milestone
995	Todo	Skyline	Import Peptide Search should default to no decoys when Library.UseExplicitPeakBounds will be used	guest	3	closed	23.2
994	Todo	Skyline	File > Import > Peptide Search - FASTA page should have Peptide Settings - Filter options	guest	3	closed	23.2
993	Defect	Skyline	Weirdness in the raw data view when switching from IM-containing replicate to non-IM replicate	guest	3	closed	23.2
992	Defect	Skyline	DIA-NN Speclib handling in BlibBuild mishandles n-terminal mods	guest	2	closed	23.2
991	Defect	Skyline	"We should add a ""Run"" submenu to Skyline's File menu, and move Feature Detection, Encyclopedia, and peptide search engines there from the ""Import"" menu"	guest	3	closed	
990	Todo	Skyline	Clean up Transition Settings and IMS arguments in command-line documentation	guest	3	closed	23.2
989	Todo	Skyline	Need to add new coverage for Peptide Settings changes by command-line	guest	1	closed	23.2
988	Defect	Skyline	Need to normalize Transition Settings change command-line output	guest	3	closed	23.2
987	Defect	Skyline	"Displaying tooltip for protein sometimes takes a really long time when ""Enforce Uniqueness"" is enabled"	guest	3	closed	
986	Defect	Skyline	Make ion mobility library editor searchable	guest	3	closed	
985	Defect	Skyline	"Target tree's Find function results window says ""Peptide"" where it should say ""Molecule"""	guest	3	closed	
984	Defect	Skyline	"""zombie chromatograms"" complicate merging of Skyline files"	guest	3	closed	
983	Defect	Skyline	manually modifying molecule mass does not modify the m/z of precursor transitions below	guest	3	closed	
982	Todo	Skyline	Improved error message when user tries to File>Open a mass spec data file in Skyline	guest	3	closed	
981	Defect	Skyline	CE optimization does not work for SCIEX QTOF instruments	guest	3	closed	
979	Defect	Skyline	"Support isotope nomenclature like ""[13C]3H7[15N]O2""  (that's C'3H7N'O2 in Skyline-speak)"	guest	3	closed	
978	Defect	Skyline	Need a way to represent targets that were dimers in the IMS stage but broke into monomers in the MS stage	guest	3	closed	
977	Defect	Skyline	"Need a way to import and display keys other than InChI, SMILES, KEGG etc - e.g. ""METLIN ID"""	guest	3	closed	
976	Defect	Skyline	Library Explorer: Allow for searching within peptide/molecule description	guest	3	closed	
975	Todo	Skyline	feature request: User-editable keyboard shortcuts for menu items	guest	3	closed	
974	Defect	Skyline	OpenDataSourceDialog WIFF/WIFF2 data type causes file selection to be painful	guest	2	closed	23.2
973	Todo	Skyline	Add a way to add annotation definitions to a Skyline document from the command-line	guest	2	closed	23.2
972	Defect	Skyline	Feature: Export mProphet features from commandline	guest	3	closed	
971	Defect	Skyline	Small molecule transition list reader could be more clever about setting formulas	guest	3	closed	
970	Todo	Skyline	Feature request: Right click on molecule in the molecule tree to “Add to iRT Database”	guest	3	closed	
969	Defect	Skyline	Trouble handling transition lists that declare precursor isotopes	guest	3	closed	
968	Defect	Skyline	NullReferenceException when uploading to a saved Panorama URI	guest	3	closed	
967	Defect	Skyline	Create matching small molecule versions of all standard peptide reports in Document Grid	guest	3	closed	
966	Todo	Skyline	"""Mobiligram"" display for ion mobility filtered chromatograms (alternate view to our ion mobility heatmap)"	guest	3	closed	
